PROPERTY_ID,LOCATION,TOTAL_AREA,PRICE,PREDICTED_PRICE
13819,"Rohini Sector 28 , New Delhi",550,2600000,2598000.0
13820,"Sector 22 Rohini, New Delhi",150,700000,756360.0
13821,"Sangam Vihar, Wazirabad,New Delhi",225,1400000,1400490.0
13822,"Pocket B1 Loknayakpuram,Lok Nayak Puram, Bakkarwala,New Delhi",484,3900000,3918000.0
13823,"Begumpur, New Delhi",650,14000000,13935000.0
13824,"Shiv Vihar, Karawal Nagar,New Delhi",410,2500000,2507000.0
13825,"Jai Vihar, Baprola,New Delhi",1000,4500000,4500000.0
13826,"Devli, Sangam Vihar,New Delhi",1125,4800000,4814000.0
13827,"Sector 5, Dakshinpuri,New Delhi",225,6000000,6110000.0
13828,"Building Dwarka,Kakraula Village, Sector 16B Dwarka,New Delhi",1500,1950000,1905100.0
13829,"Ambika Enclave,Suraj Vihar, New Delhi",1100,4500000,4500000.0
13830,"Mohan Garden, Razapur Khurd,New Delhi",1200,5500000,5500000.0
13831,"Sector 8B, Sector 8 Rohini,New Delhi",1000,9500000,9503550.0
13832,"Pocket A3,Sector 7 Rohini, New Delhi",1000,10000000,10006000.0
13833,"Molarband Extension, Badarpur,New Delhi",400,4000000,3992000.0
13834,"Lig Flats Mayur Vihar,Pocket A 1, Mayur Vihar Phase 3,New Delhi",900,8000000,7996000.0
13835,"Sheikh Sarai Village, Sheikh Sarai,New Delhi",850,6000000,6000000.0
13836,"Block C, Adarsh Nagar,New Delhi",2925,140000000,134748000.0
13837,"Banarsi Das Estate, Timarpur,New Delhi",2230,26500000,25694000.0
13838,"Sanskriti Appartment ,Bharat Vihar, Madhu Vihar,New Delhi",450,2500000,2496500.0
13839,"Block A, Jahangirpuri,New Delhi",468,1500000,1494830.0
13840,"Dharampura, Najafgarh,New Delhi",900,7500000,7480000.0
13841,"Not Avilable,Meera Bagh, Paschim Vihar,New Delhi",500,4200000,4214000.0
13842,"Sector 34 Rohini, New Delhi",333,1750000,1759030.0
13843,"Sector 13 Rohini, New Delhi",1500,27500000,27616000.0
13844,"Shalimar Place Site, Shalimar Bagh,New Delhi",1100,10000000,9998000.0
13845,"Sewak Park, New Delhi",2250,21000000,21237000.0
13846,"Vipin Garden, Dwarka Mor,New Delhi",540,2800000,2790560.0
13847,"Dda Flats Madangir,Sector 4, Madangir,New Delhi",500,2000000,1999000.0
13848,"Bharthal, New Delhi",450,2100000,2099000.0
13849,"Lajpatnagar ,Lajpat Nagar Iii, Lajpat Nagar,New Delhi",1500,20500000,20520000.0
13850,"Ayodhya Enclave,Sector 16E, Sector 16 Rohini,New Delhi",950,14000000,13938000.0
13851,"Rajpur Khurd Village, Chhattarpur,New Delhi",10000,90000000,83566000.0
13852,"Gautam Nagar, New Delhi",5000,65000000,63506000.0
13853,"Sector 18 Rohini, New Delhi",900,14000000,14000000.0
13854,"Holi Chawk ,Neb Sarai, New Delhi",540,1450000,1463000.0
13855,"Jawahar Park, Khanpur,New Delhi",900,3300000,3305500.0
13856,"Kashmere Gate, New Delhi",585,5500000,5479000.0
13857,"Sector 14 Dwarka, New Delhi",550,4000000,4002000.0
13858,"Badarpur Village, Badarpur,New Delhi",300,750000,742000.0
13859,"Radha Nikunj,Madhu Vihar, New Delhi",630,3600000,3612000.0
13860,"Sector 13 Rohini, New Delhi",1150,18000000,17952000.0
13861,"Bhagwati Garden, Dwarka Mor,New Delhi",1114,6500000,6505000.0
13862,"Utsav Apartments,Sector 18 Rohini, New Delhi",452,4800000,4748500.0
13863,"Dwarka Mor, New Delhi",585,2100000,2104000.0
13864,"Signature Apartment Madhu Vihar Bhrat Vihar ,Madhu Vihar, New Delhi",3000,4500000,3522400.0
13865,"Nangli Sakrawati, New Delhi",549,3500000,3498500.0
13866,"Bhagwati Garden, Dwarka Mor,New Delhi",650,2500000,2500000.0
13867,"Shaheed Bhagat Singh Colony, Karawal Nagar,New Delhi",450,1600000,1603250.0
13868,"Sewak Park, New Delhi",1300,6500000,6492030.0
13869,"Sector 15B, Sector 15 Rohini,New Delhi",700,9000000,9006000.0
13870,"Shiv Vihar, Karawal Nagar,New Delhi",1685,8000000,8063000.0
13871,"Sector 9 Rohini, New Delhi",1250,17000000,16809000.0
13872,"Sector 12 Dwarka, New Delhi",1625,17500000,17582000.0
13873,"Ip Extension, Patparganj,New Delhi",1050,8200000,8181280.0
13874,"Sector 12 Dwarka, New Delhi",1420,14000000,13995000.0
13875,"Sector 12 Dwarka, New Delhi",1850,21500000,21505000.0
13876,"Sector 12 Dwarka, New Delhi",2100,25000000,25000000.0
13877,"Sector 12 Dwarka, New Delhi",1850,21000000,21000000.0
13878,"Unix Apartment ,Nai Basti, Mehrauli,New Delhi",1200,6000000,6000000.0
13879,"Kailash Colony, Greater Kailash,New Delhi",2340,30000000,30100000.0
13880,"Sector 12 Dwarka, New Delhi",2650,31000000,30915000.0
13881,"Gandhi Colony, Mehrauli,New Delhi",1000,2600000,2592000.0
13882,"Sector 12 Dwarka, New Delhi",2100,25000000,25000000.0
13883,"Sector 12 Dwarka, New Delhi",1750,20000000,19997000.0
13884,"Kg1 Apartment,Block M, Vikaspuri,New Delhi",1400,15500000,15714000.0
13885,"Gaytri Appartment ,Bharat Vihar, Madhu Vihar,New Delhi",710,2200000,2219790.0
13886,"Radha Nikunj,Madhu Vihar, New Delhi",900,6200000,6206000.0
13887,"Radha Nikunj,Madhu Vihar, New Delhi",900,6200000,6208000.0
13888,"Sector 12 Dwarka, New Delhi",1850,21000000,21000000.0
13889,"Lg Apartment,Ghitorni, New Delhi",450,1500000,1500000.0
13890,"Sector 19 Dwarka, New Delhi",1400,10000000,10009200.0
13891,"Narela Mandi, Narela,New Delhi",880,2660000,2665820.0
13892,"Chhattarpur Enclave Phase1, Chhattarpur,New Delhi",550,1700000,1702000.0
13893,"Delhi,Sector 25 Rohini, New Delhi",900,6500000,6491000.0
13894,"Block E, Krishna Nagar,New Delhi",1000,4500000,4499500.0
13895,"Mayur Vihar Phase 1 Extension, Mayur Vihar Phase 1,New Delhi",1300,13000000,13008000.0
13896,"Sector 12 Dwarka, New Delhi",2100,25000000,25000000.0
13897,"Sector 12 Dwarka, New Delhi",2100,31500000,31485000.0
13898,"Chhattarpur Extension, Chhattarpur,New Delhi",1536,4000000,4091400.0
13899,"Sector 12 Dwarka, New Delhi",2650,31000000,30915000.0
13900,"Mahavir Enclave Part 1, Mahavir Enclave,New Delhi",900,4800000,4800000.0
13901,"Sector 3 Dwarka, New Delhi",1500,15500000,15655000.0
13902,"West Sant Nagar, Burari,New Delhi",630,3000000,3000000.0
13903,"Hari Enclave, Hari Nagar,New Delhi",550,7700000,7775000.0
